Movie,Year,Pass/Fail,Ranking,Categorisation
Austin Powers in Goldmember,2002,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Austin Powers: International Man of Mystery,1997,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Austin Powers: The Spy Who Shagged Me,1999,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Australia,2008,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Automata,2014,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Autour d'une cabine,1894,Fail,5,Fewer than two women in this movie
Autumn in New York,2000,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Ava,2017,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Ava's Possession,2015,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Avalanche,1978,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Avanti!,1972,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Avatar,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Avengers: Age of Ultron,2015,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Avengers: Endgame,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Avengers: Infinity War,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Avenue Montaigne,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Avenue Q,2003,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Avis de mistral,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Avril et le monde truque,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Awake,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Away We Go,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Away from Her,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Awaydays,2009,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Awesome Asian Bad Guys,2014,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Ayneh,1997,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Az otodik pecset,1976,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Azumi,2003,Fail,5,Fewer than two women in this movie
Azumi 2: Death or Love,2005,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
BASEketball,1998,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Baahubali: The Beginning,2015,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Babar: The Movie,1989,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Babe,1995,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Babel,2006,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Babes in Arms,1939,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Babette's Feast,1987,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Baboon Climbing a Pole,1887,Fail,5,Fewer than two women in this movie
Baby Boom,1987,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Baby Driver,2017,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Baby Face,1933,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Baby Mama,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Baby's Dinner,1895,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Babyteeth,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bachelor Party,1984,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bachelorette,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Back to Burgundy (Ce que nous lie),2017,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Back to School,1986,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Back to the Future,1985,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Back to the Future Part II,1989,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Back to the Future Part III,1990,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Bacurau,2019,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Bad,1977,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bad Boy Bubby,1993,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Bad Boys For Life,2020,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Bad Boys II,2003,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Bad Education,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bad Girls,1994,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bad Hair,2020,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bad Hair Day,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bad Moms,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bad Parents,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bad Reputation,2005,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bad Santa,2003,Fail,5,Fewer than two women in this movie
Bad Taste,1987,Fail,5,Fewer than two women in this movie
Bad Teacher,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bad Times at the El Royale,2018,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Bad Words,2013,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Badlands,1973,Fail,5,Fewer than two women in this movie
Bagdad Cafe,1987,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Baggage Claim,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Baise-Moi,2000,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bajirao Mastani,2015,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Bal,2010,Fail,5,Fewer than two women in this movie
Ballerina,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Ballet Shoes,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Balto,1995,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Bambi,1942,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Bambi II,2006,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Bamboozlee,2000,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Bambule,1970,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Banana Joe,1982,Fail,5,Fewer than two women in this movie
Banana Split,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bananas,1971,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Band Aid,2017,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Band Baaja Barat,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Band of Brothers,2001,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Band of Outsiders,1964,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bandage,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bandidas,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bang Bang You're Dead,2002,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Bang Gang,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Banlieue 13,2004,Fail,5,Fewer than two women in this movie
Bar Bahar,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Baraka,1992,Fail,5,Fewer than two women in this movie
Baran,2001,Fail,5,Fewer than two women in this movie
Barb Wire,1996,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Barb and Star Go to Vista Del Mar,2021,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbara,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbarella,1968,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbarian Queen,1985,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbarian Queen II: The Empress Strikes Back,1990,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbershop: The Next Cut,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbie & Her Sisters in a Pony Tale,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbie Fairytopia: Magic of the Rainbow,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbie Video Game Hero,2017,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Barbie and the Diamond Castle,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbie and the Magic of Pegasus,2005,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbie and the Rockers: Out of This World,1987,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbie and the Secret Door,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbie and the pink shoes,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbie as Rapunzel,2002,Fail,5,Fewer than two women in this movie
Barbie as the Island Princess,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbie as the Princess and the Pauper,2004,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbie in a Mermaid Tale,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbie in the 12 Dancing Princesses,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbie in the Nutcracker,2001,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbie of Swan Lake,2003,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbie: Fairytopia,2005,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbie: Princess Charm School,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barbie: The Pearl Princess,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barefoot,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barefoot Gen,1983,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Barefoot in the Park,1967,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barely Lethal,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barfi!,2012,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Barney's Version,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barnyard,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barque sortant du port,1895,Fail,5,Fewer than two women in this movie
Barrio,1998,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Barry Lyndon,1975,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Barton Fink,1991,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Basic,2003,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Basic Instinct,1992,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Basilicata Coast to Coast,2010,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Basquiat,1996,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Bataille de neige,1897,Fail,5,Fewer than two women in this movie
Batman,1989,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Batman & Mr. Freeze: SubZero,1998,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Batman & Robin,1997,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Batman Begins,2005,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Batman Beyond: Return of the Joker,2000,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Batman Forever,1995,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Batman Returns,1992,Fail,5,Fewer than two women in this movie
Batman Unlimited: Animal Instincts,2015,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Batman v Superman: Dawn of Justice,2016,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Batman vs. Two-Face,2017,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Batman: Assault on Arkham,2014,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Batman: Mask of the Phantasm,1993,Fail,5,Fewer than two women in this movie
Batman: Return of the Caped Crusaders,2016,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
"Batman: The Dark Knight Returns, part 1",2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Batman: The Killing Joke,2016,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Batman: Under the Red Hood,2010,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Batman: Year One,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Battle Beyond the Stars,1980,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Battle For Sevastopol,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Battle Royale,2000,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Battle in Outer Space,1959,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Battle of the Sexes,2017,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Battle: Los Angeles,2011,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Battledream Chronicle,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Battleship,2012,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Battleship Potemkin,1925,Fail,5,Fewer than two women in this movie
Battlestar Galactica,1978,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Bayonetta: Bloody Fate,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Baywatch,2017,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Be Kind Rewind,2008,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Be Somebody,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Be Yourself,1930,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Beach Party,1963,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Beach Rats,2017,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Beaches,1988,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
BearCity,2010,Fail,5,Fewer than two women in this movie
BearCity 2: The Proposal,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bearkittens,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beastly,2011,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Beasts of No Nation,2015,Fail,5,Fewer than two women in this movie
Beasts of the Southern Wild,2012,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Beatriz at Dinner,2017,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beau travail,1999,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Beaufort,2007,Fail,5,Fewer than two women in this movie
Beautiful,2000,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beautiful Creatures,2000,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beautiful Creatures,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beautiful Girls,1996,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beautiful Kate,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beautiful People,1999,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Beautiful Thing,1996,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beauty Shop,2005,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beauty and the Beast,1946,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beauty and the Beast,1991,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beauty and the Beast,2017,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Beavis and Butt-Head Do America,1996,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Bebukottak,1985,Fail,5,Fewer than two women in this movie
Because I Said So,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Becoming Jane,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bedazzled,1967,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bedevilled,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bedknobs and Broomsticks,1971,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bedtime Stories,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bedtime Story,1964,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Bee Movie,2007,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Beerfest,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beeswax,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beetle Juice,1988,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Before I Fall,2017,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Before I Go to Sleep,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Before Midnight,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Before Sunrise,1995,Fail,5,Fewer than two women in this movie
Before Sunset,2004,Fail,5,Fewer than two women in this movie
Before We Go,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Before You Know It,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Before the Devil Knows You're Dead,2007,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Before the Fall,2004,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Beggars of Life,1928,Fail,5,Fewer than two women in this movie
Begin Again,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beginners,2010,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Behind Enemy Lines,2001,Fail,5,Fewer than two women in this movie
Behind the Candelabra,2013,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Behind the Mask: The Rise of Leslie Vernon,2006,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Being Flynn,2012,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Being John Malkovich,1999,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Being Julia,2004,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Being The Ricardos,2021,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Being There,1979,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Belgica,2016,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Bella Ciao!,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Belle,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Belle de Jour,1967,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bellissima,1951,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bello onesto emigrato Australia sposerebbe compaesana illibata,1971,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Beloved,1998,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Below,2002,Fail,5,Fewer than two women in this movie
Below Her Mouth,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
"Belphegor, Phantom of the Louvre (Belphegor - Le fantome du Louvre)",2001,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beltracchi: The Art of Forgery,2013,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Ben & Arthur,2002,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Ben Is Back,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Ben-Hur,1959,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Ben-Hur,2016,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Bend It Like Beckham,2002,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bends,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beneath,2013,Fail,5,Fewer than two women in this movie
Benny & Joon,1993,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Beowulf,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Berberian Sound Studio,2012,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Berlin Syndrome,2017,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Bernie,2011,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Berserk,1967,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bessie,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Best Defense,1984,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Best Friends Forever,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Best Man Down,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Best Night Ever,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Best in Show,2000,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bethany Hamilton: Unstoppable,2018,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Better Living Through Chemistry,2014,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Better Off Dead,1985,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Better Than Chocolate,1999,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Better Watch Out,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Betty Blue,1986,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Beverly Hills Cop,1984,Fail,5,Fewer than two women in this movie
Beverly Hills Cop II,1987,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Beverly Hills Cop III,1994,Fail,5,Fewer than two women in this movie
Bewitched,2005,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beyond Silence (Jenseits der Stille),1996,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beyond the Black Rainbow,2010,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Beyond the Hills,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beyond the Lights,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Beyond the Valley of the Dolls,1970,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bhaji on the Beach,1993,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bhool Bhulaiyaa,2007,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Bi the Way,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bicentennial Man,1999,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Bicycle Thieves,1948,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Bicycling with Molière,2013,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Bienvenue chez les Ch'tis,2008,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Big,1988,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Big Business,1988,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Big Eyes,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Big Fat Liar,2002,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Big Fish,2003,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Big Fish & Begonia,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Big Font. Large Spacing,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Big Game,2014,Fail,5,Fewer than two women in this movie
Big Girls Don't Cry,2002,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Big Hero 6,2014,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Big Miracle,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Big Night,1996,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Big Stone Gap,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Big Trouble in Little China,1986,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bigfoot: Blood Trap,2017,Fail,5,Fewer than two women in this movie
Bigger Than Life,1956,Fail,5,Fewer than two women in this movie
Bikini Beach,1964,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Bikini Spring Break,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bill,2015,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Bill & Ted Face the Music,2020,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bill & Ted's Bogus Journey,1991,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Bill & Ted's Excellent Adventure,1989,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Bill Cunningham New York,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Billions,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Billy Edwards and the Unknown,1895,Fail,5,Fewer than two women in this movie
Billy Elliot,2000,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Billy Madison,1995,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Bimbos B.C.,1990,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bindlestiffs,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bionicle 2: Legends of Metru Nui,2004,Fail,5,Fewer than two women in this movie
Bird Box,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Birdemic,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Birdemic 2: The Resurrection,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Birdman,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Birds 2: Land's End,1994,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Birds of America,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Birds of Prey,2020,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Birigyaru,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Birkebeinerne,2016,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Bit,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bitch Slap,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bitchkram,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bitter Moon,1992,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Biutiful,2010,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
"Bizarre, Bizarre",1937,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
BlacKkKlansman,2018,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Black 47,2018,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Black Beauty,1994,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Black Butterflies,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
"Black Cat, White Cat",1998,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Black Christmas,1974,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Black Christmas,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Black Dahlia,2006,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Black Dragons,1942,Fail,5,Fewer than two women in this movie
Black Dynamite,2009,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Black Girl,1966,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Black Gold,2011,Fail,5,Fewer than two women in this movie
Black Hawk Down,2001,Fail,5,Fewer than two women in this movie
"Black Mama, White Mama",1973,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Black Mass,2015,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Black Narcissus,1947,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Black Panther,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Black Robe,1991,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Black Rock,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Black Sea,2014,Fail,5,Fewer than two women in this movie
